flight_number,departure/arrival_airport,departure/arrival_airport,flight_status,city_name,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,actual_datetime_flight
6E 74,Riyadh King Khaled,RUH,Unknown,Mumbai,BOM,2024-08-10 09:40+03:00,2,Airbus A320 NEO,IndiGo,Departure,2024-08-10 09:40+03:00,
F3 15,Riyadh King Khaled,RUH,Unknown,Abha,AHB,2024-08-10 09:45+03:00,5,Airbus A320,flyadeal,Departure,2024-08-10 09:45+03:00,
XY 17,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-10 09:50+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-10 09:50+03:00,
FZ 848,Riyadh King Khaled,RUH,Unknown,Dubai,DXB,2024-08-10 09:50+03:00,2,Boeing 737,flydubai,Departure,2024-08-10 09:50+03:00,
XY 251,Riyadh King Khaled,RUH,Unknown,Amman,AMM,2024-08-10 09:55+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-10 09:55+03:00,
SV 1027,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-10 10:00+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-10 10:00+03:00,
F3 115,,RUH,Unknown,Jeddah,JED,2024-08-10 10:00+03:00,5,Airbus A320,flyadeal,Departure,,
SV 1511,Riyadh King Khaled,RUH,Unknown,Turayf,TUI,2024-08-10 10:00+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-10 10:00+03:00,
SV 1901,,RUH,Unknown,Taif,TIF,2024-08-10 10:05+03:00,5,Airbus A321,Saudi Arabian,Departure,,
XY 139,,RUH,Unknown,Al-Bakha,ABT,2024-08-10 10:05+03:00,5,Airbus A320 NEO,flynas,Departure,,
EY 358,,RUH,Unknown,Abu Dhabi Island and Internal Islands City,AUH,2024-08-10 10:05+03:00,3,Airbus A321,Etihad Airways,Departure,,
SV 760,,RUH,Departed,New Delhi,DEL,2024-08-10 10:10+03:00,4,Boeing 777-300,Saudi Arabian,Departure,,
XY 70,,RUH,Unknown,Ad Dammam,DMM,2024-08-10 10:10+03:00,5,Airbus A320 NEO,flynas,Departure,,
SV 1669,,RUH,Unknown,Abha,AHB,2024-08-10 10:10+03:00,5,Airbus A330,Saudi Arabian,Departure,,
F3 225,,RUH,Departed,Medina,MED,2024-08-10 10:15+03:00,5,Airbus A320,flyadeal,Departure,,
SV 1603,,RUH,Unknown,Neom Bay Airport,N/A,2024-08-10 10:25+03:00,5,Airbus A321,Saudi Arabian,Departure,,
SV 263,,RUH,Departed,Istanbul,IST,2024-08-10 10:30+03:00,4,Airbus A330,Saudi Arabian,Departure,,
SV 572,Riyadh King Khaled,RUH,Unknown,Abu Dhabi Island and Internal Islands City,AUH,2024-08-10 10:45+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-10 10:45+03:00,
SV 1237,,RUH,Unknown,Arar,RAE,2024-08-10 10:50+03:00,5,Airbus A320,Saudi Arabian,Departure,,
AT 255,,RUH,Unknown,Jeddah,JED,2024-08-10 10:55+03:00,2,Airbus A340-300,Royal Air Maroc,Departure,,
SV 1029,,RUH,Unknown,Jeddah,JED,2024-08-10 11:00+03:00,5,Boeing 777-300,Saudi Arabian,Departure,,
SV 1140,,RUH,Unknown,Ad Dammam,DMM,2024-08-10 11:00+03:00,5,Airbus A320,Saudi Arabian,Departure,,
SV 1865,,RUH,Unknown,Neyran,EAM,2024-08-10 11:05+03:00,5,Airbus A321,Saudi Arabian,Departure,,
SV 774,,RUH,Unknown,Kochi,COK,2024-08-10 11:10+03:00,4,Airbus A330-300,Saudi Arabian,Departure,,
SV 1525,,RUH,Unknown,Tabuk,TUU,2024-08-10 11:10+03:00,5,Airbus A320,Saudi Arabian,Departure,,
XY 285,,RUH,Unknown,Cairo,N/A,2024-08-10 11:15+03:00,3,Airbus A320 NEO,flynas,Departure,,
XY 135,,RUH,Unknown,Neyran,EAM,2024-08-10 11:20+03:00,5,Airbus A320 NEO,flynas,Departure,,
F3 119,,RUH,Unknown,Jeddah,JED,2024-08-10 11:25+03:00,5,Airbus A320,flyadeal,Departure,,
AI 1922,Riyadh King Khaled,RUH,Unknown,Mumbai,BOM,2024-08-10 11:25+03:00,2,Airbus A320 NEO,Air India,Departure,2024-08-10 11:25+03:00,
F3 525,,RUH,Unknown,Jebel Ali,DWC,2024-08-10 11:25+03:00,3,Airbus A320,flyadeal,Departure,,
XY 35,,RUH,Unknown,Jeddah,JED,2024-08-10 11:30+03:00,5,Airbus A320 NEO,flynas,Departure,,
SV 1333,,RUH,Unknown,Khail,HAS,2024-08-10 11:30+03:00,5,Airbus A321,Saudi Arabian,Departure,,
SV 558,,RUH,Unknown,Dubai,DXB,2024-08-10 11:35+03:00,4,Boeing 777,Saudi Arabian,Departure,,
F3 541,,RUH,Unknown,Amman,AMM,2024-08-10 11:40+03:00,3,Airbus A320,flyadeal,Departure,,
QR 1171,,RUH,Unknown,Doha,DOH,2024-08-10 11:45+03:00,3,Boeing 787-9,Qatar Airways,Departure,,
F3 17,,RUH,Unknown,Abha,AHB,2024-08-10 11:45+03:00,5,Airbus A320,flyadeal,Departure,,
SV 417,,RUH,Unknown,Cairo,CAI,2024-08-10 11:50+03:00,4,Airbus A330,Saudi Arabian,Departure,,
ME 425,,RUH,Unknown,Beirut,BEY,2024-08-10 11:50+03:00,3,Airbus A320,Middle East,Departure,,
F3 607,,RUH,Unknown,Cairo,CAI,2024-08-10 12:00+03:00,3,Airbus A320,flyadeal,Departure,,
XY 267,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-10 12:00+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-10 12:00+03:00,
F3 607,,RUH,Unknown,Cairo,CAI,2024-08-10 12:00+03:00,3,Airbus A320,flyadeal,Departure,,
XY 267,,RUH,Unknown,Cairo,CAI,2024-08-10 12:00+03:00,3,Airbus A320 NEO,flynas,Departure,,
SV 1031,,RUH,Unknown,Jeddah,JED,2024-08-10 12:00+03:00,5,Airbus A330-300,Saudi Arabian,Departure,,
SV 1031,,RUH,Unknown,Jeddah,JED,2024-08-10 12:00+03:00,5,Airbus A330-300,Saudi Arabian,Departure,,
F3 75,,RUH,Unknown,Neyran,EAM,2024-08-10 12:05+03:00,5,Airbus A320,flyadeal,Departure,,
SV 633,,RUH,Unknown,Amman,AMM,2024-08-10 12:05+03:00,4,Airbus A320,Saudi Arabian,Departure,,
GF 164,,RUH,Unknown,Manama,BAH,2024-08-10 12:05+03:00,2,Airbus A320,Gulf Air,Departure,,
F3 53,,RUH,Unknown,Taif,TIF,2024-08-10 12:10+03:00,5,Airbus A320,flyadeal,Departure,,
TK 143,,RUH,Departed,Istanbul,IST,2024-08-10 12:15+03:00,3,Airbus A321,Turkish,Departure,,
XY 205,,RUH,Unknown,Dubai,DXB,2024-08-10 12:20+03:00,3,Airbus A320 NEO,flynas,Departure,,
KU 774,Riyadh King Khaled,RUH,Unknown,Kuwait City,KWI,2024-08-10 12:25+03:00,2,Airbus A320 NEO,Kuwait Airways,Departure,2024-08-10 12:25+03:00,
