flight_number,airport_code,departure_arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status,GateNumber
G9 154,SHJ,2024-08-12T16:00:00.0000000+03:00,1,Airbus A321,Air Arabia,Arrival,2024-08-12T11:15:00.0000000+00:00,Unknown,Closed,108A
F3 76,EAM,2024-08-12T16:15:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-12T11:30:00.0000000+00:00,Unknown,Closed,105A
SV 541,DOH,2024-08-12T16:35:00.0000000+03:00,4,Airbus A320,Saudi Arabian,Arrival,2024-08-12T12:00:00.0000000+00:00,Unknown,Closed,105A
XY 787,MED,2024-08-12T16:45:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-12T12:20:00.0000000+00:00,Expected,Closed,109A
GF 167,BAH,2024-08-12T17:00:00.0000000+03:00,2,Boeing 787-9,Gulf Air,Arrival,2024-08-12T12:45:00.0000000+00:00,Unknown,Closed,101A
SV 1460,MED,2024-08-12T17:05:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-12T12:30:00.0000000+00:00,Expected,Closed,107A
XY 206,DXB,2024-08-12T17:10:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-12T12:15:00.0000000+00:00,Unknown,Closed,109A
SV 1738,BHH,2024-08-12T17:25:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-12T12:55:00.0000000+00:00,Unknown,Closed,102A
SV 1808,GIZ,2024-08-12T17:50:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-12T12:55:00.0000000+00:00,Unknown,Closed,108A
MU 269,PVG,2024-08-12T17:50:00.0000000+03:00,3,Airbus A330-200,China Eastern,Arrival,2024-08-12T04:20:00.0000000+00:00,Unknown,Closed,104A
F3 128,JED,2024-08-12T18:10:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-12T13:35:00.0000000+00:00,Unknown,Closed,106A
SV 1145,DMM,2024-08-12T18:15:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-12T14:00:00.0000000+00:00,Unknown,Closed,104A
SV 1914,TIF,2024-08-12T18:25:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-12T13:50:00.0000000+00:00,Unknown,Closed,104A
XY 268,CAI,2024-08-12T18:30:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-12T12:45:00.0000000+00:00,Unknown,Closed,104A
SV 1388,AJF,2024-08-12T18:35:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-12T13:55:00.0000000+00:00,Unknown,Closed,109A
SV 1232,RAE,2024-08-12T18:45:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-12T14:00:00.0000000+00:00,Unknown,Closed,102A
SV 418,CAI,2024-08-12T18:50:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Arrival,2024-08-12T13:00:00.0000000+00:00,Unknown,Closed,102A
XY 218,DXB,2024-08-12T18:55:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-12T14:00:00.0000000+00:00,Unknown,Closed,108A
SV 1526,TUU,2024-08-12T19:05:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-12T14:00:00.0000000+00:00,Unknown,Closed,109A
SV 144,CDG,2024-08-12T19:20:00.0000000+03:00,4,Boeing 777-300,Saudi Arabian,Arrival,2024-08-12T10:46:00.0000000+00:00,Expected,Closed,109A
SV 196,ATH,2024-08-12T19:20:00.0000000+03:00,4,Airbus A320,Saudi Arabian,Arrival,2024-08-12T12:15:00.0000000+00:00,Expected,Closed,107A
XY 224,DOH,2024-08-12T19:25:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-12T15:05:00.0000000+00:00,Unknown,Closed,101A
SV 1508,RAH,2024-08-12T19:25:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-12T15:00:00.0000000+00:00,Unknown,Closed,105A
F3 148,JED,2024-08-12T19:45:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-12T15:05:00.0000000+00:00,Unknown,Closed,105A
SV 1042,JED,2024-08-12T19:50:00.0000000+03:00,5,Boeing 777-300,Saudi Arabian,Arrival,2024-08-12T15:00:00.0000000+00:00,Unknown,Closed,108A
LH 636,FRA,2024-08-12T19:55:00.0000000+03:00,2,Airbus A330-300,Lufthansa,Arrival,2024-08-12T11:10:00.0000000+00:00,Expected,Closed,106A
F3 205,TUU,2024-08-13T08:05:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-13T05:05:00.0000000+00:00,Unknown,Closed,101A
J9 230,KWI,2024-08-13T08:10:00.0000000+03:00,2,Airbus A320,Jazeera Airways,Departure,2024-08-13T05:10:00.0000000+00:00,Unknown,Closed,104A
XY 391,AYT,2024-08-13T08:15:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T05:15:00.0000000+00:00,Departed,Closed,104A
F3 585,GYD,2024-08-13T08:25:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-13T05:25:00.0000000+00:00,Unknown,Closed,102A
F3 111,JED,2024-08-13T08:35:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-13T05:35:00.0000000+00:00,Unknown,Closed,108A
XY 13,JED,2024-08-13T08:40:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-13T05:40:00.0000000+00:00,Unknown,Closed,109A
XY 219,DXB,2024-08-13T08:45:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T05:45:00.0000000+00:00,Unknown,Closed,102A
F3 505,DXB,2024-08-13T08:50:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-13T05:50:00.0000000+00:00,Unknown,Closed,108A
SV 225,AGP,2024-08-13T08:55:00.0000000+03:00,4,Boeing 787-9,Saudi Arabian,Departure,2024-08-13T05:55:00.0000000+00:00,Departed,Closed,104A
SV 1025,JED,2024-08-13T09:00:00.0000000+03:00,5,Boeing 777-300,Saudi Arabian,Departure,2024-08-13T06:00:00.0000000+00:00,Unknown,Closed,105A
SV 1805,GIZ,2024-08-13T09:05:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-13T06:05:00.0000000+00:00,Unknown,Closed,102A
SV 1574,ULH,2024-08-13T09:15:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-13T06:15:00.0000000+00:00,Unknown,Closed,103A
SV 1273,ELQ,2024-08-13T09:15:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-13T06:15:00.0000000+00:00,Unknown,Closed,103A
EK 820,DXB,2024-08-13T09:40:00.0000000+03:00,2,Boeing 777-300ER,Emirates,Departure,2024-08-13T06:40:00.0000000+00:00,Unknown,Closed,103A
XY 17,JED,2024-08-13T09:50:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-13T06:50:00.0000000+00:00,Unknown,Closed,106A
XY 251,AMM,2024-08-13T09:55:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T06:55:00.0000000+00:00,Unknown,Closed,102A
SV 1511,TUI,2024-08-13T10:00:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-13T07:00:00.0000000+00:00,Unknown,Closed,107A
XY 139,ABT,2024-08-13T10:05:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-13T07:05:00.0000000+00:00,Unknown,Closed,102A
SV 760,DEL,2024-08-13T10:10:00.0000000+03:00,4,Boeing 777-300,Saudi Arabian,Departure,2024-08-13T07:10:00.0000000+00:00,Departed,Closed,108A
SV 1669,AHB,2024-08-13T10:10:00.0000000+03:00,5,Airbus A330,Saudi Arabian,Departure,2024-08-13T07:10:00.0000000+00:00,Unknown,Closed,103A
SV 572,AUH,2024-08-13T10:45:00.0000000+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-13T07:45:00.0000000+00:00,Unknown,Closed,108A
SV 1237,RAE,2024-08-13T10:50:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-13T07:50:00.0000000+00:00,Unknown,Closed,109A
SV 1029,JED,2024-08-13T11:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-13T08:00:00.0000000+00:00,Unknown,Closed,104A
SV 1865,EAM,2024-08-13T11:05:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-13T08:05:00.0000000+00:00,Unknown,Closed,101A
SV 1525,TUU,2024-08-13T11:10:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-13T08:10:00.0000000+00:00,Unknown,Closed,101A
F3 119,JED,2024-08-13T11:25:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-13T08:25:00.0000000+00:00,Unknown,Closed,104A
XY 35,JED,2024-08-13T11:30:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-13T08:30:00.0000000+00:00,Unknown,Closed,109A
F3 541,AMM,2024-08-13T11:40:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-13T08:40:00.0000000+00:00,Unknown,Closed,101A
SV 417,CAI,2024-08-13T11:50:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-13T08:50:00.0000000+00:00,Unknown,Closed,109A
F3 607,CAI,2024-08-13T12:00:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-13T09:00:00.0000000+00:00,Unknown,Closed,106A
XY 267,CAI,2024-08-13T12:00:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T09:00:00.0000000+00:00,Unknown,Closed,105A
SV 1031,JED,2024-08-13T12:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-13T09:00:00.0000000+00:00,Unknown,Closed,107A
GF 164,BAH,2024-08-13T12:05:00.0000000+03:00,2,Airbus A320,Gulf Air,Departure,2024-08-13T09:05:00.0000000+00:00,Unknown,Closed,106A
F3 53,TIF,2024-08-13T12:10:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-13T09:10:00.0000000+00:00,Unknown,Closed,109A
SV 540,DOH,2024-08-13T12:30:00.0000000+03:00,4,Airbus A321,Saudi Arabian,Departure,2024-08-13T09:30:00.0000000+00:00,Unknown,Closed,107A
F3 25,AHB,2024-08-13T12:35:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-13T09:35:00.0000000+00:00,Unknown,Closed,102A
XY 217,DXB,2024-08-13T12:50:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T09:50:00.0000000+00:00,Unknown,Closed,106A
SV 736,LHE,2024-08-13T13:00:00.0000000+03:00,4,Boeing 777,Saudi Arabian,Departure,2024-08-13T10:00:00.0000000+00:00,Unknown,Closed,103A
SV 1461,MED,2024-08-13T13:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-13T10:00:00.0000000+00:00,Departed,Closed,102A
XY 19,JED,2024-08-13T13:10:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-13T10:10:00.0000000+00:00,Unknown,Closed,103A
FZ 842,DXB,2024-08-13T13:15:00.0000000+03:00,2,Boeing 737,flydubai,Departure,2024-08-13T10:15:00.0000000+00:00,Departed,Closed,106A
XY 149,AJF,2024-08-13T13:20:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-13T10:20:00.0000000+00:00,Unknown,Closed,102A
F3 121,JED,2024-08-13T13:30:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-13T10:30:00.0000000+00:00,Unknown,Closed,108A
XY 231,KWI,2024-08-13T13:35:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T10:35:00.0000000+00:00,Unknown,Closed,108A
F3 127,JED,2024-08-13T14:00:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-13T11:00:00.0000000+00:00,Unknown,Closed,101A
SV 1527,TUU,2024-08-13T14:15:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-13T11:15:00.0000000+00:00,Unknown,Closed,109A
SV 1915,TIF,2024-08-13T14:35:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-13T11:35:00.0000000+00:00,Unknown,Closed,102A
XY 85,AHB,2024-08-13T14:35:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-13T11:35:00.0000000+00:00,Unknown,Closed,108A
F3 125,JED,2024-08-13T14:50:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-13T11:50:00.0000000+00:00,Unknown,Closed,108A
SV 1150,DMM,2024-08-13T15:00:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-13T12:00:00.0000000+00:00,Unknown,Closed,103A
XY 21,JED,2024-08-13T15:05:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-13T12:05:00.0000000+00:00,Unknown,Closed,107A
F3 19,AHB,2024-08-13T15:20:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-13T12:20:00.0000000+00:00,Unknown,Closed,104A
NE 163,CAI,2024-08-13T15:30:00.0000000+03:00,2,Airbus A320,Nesma,Departure,2024-08-13T12:30:00.0000000+00:00,Unknown,Closed,106A
SV 1463,MED,2024-08-13T15:30:00.0000000+03:00,5,Airbus A330-300,Saudi Arabian,Departure,2024-08-13T12:30:00.0000000+00:00,Departed,Closed,106A
XY 207,DXB,2024-08-13T15:50:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T12:50:00.0000000+00:00,Unknown,Closed,106A
SV 560,DXB,2024-08-13T16:00:00.0000000+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-13T13:00:00.0000000+00:00,Departed,Closed,103A
GF 190,BAH,2024-08-13T16:00:00.0000000+03:00,2,Airbus A320,Gulf Air,Departure,2024-08-13T13:00:00.0000000+00:00,Unknown,Closed,103A
SV 1787,GIZ,2024-08-13T16:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-13T13:00:00.0000000+00:00,Unknown,Closed,106A
SV 1039,JED,2024-08-13T16:00:00.0000000+03:00,5,Airbus A330-300,Saudi Arabian,Departure,2024-08-13T13:00:00.0000000+00:00,Unknown,Closed,101A
XY 33,JED,2024-08-13T16:05:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-13T13:05:00.0000000+00:00,Unknown,Closed,105A
SV 1675,AHB,2024-08-13T16:10:00.0000000+03:00,5,Airbus A330,Saudi Arabian,Departure,2024-08-13T13:10:00.0000000+00:00,Unknown,Closed,106A
XY 271,CAI,2024-08-13T16:25:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T13:25:00.0000000+00:00,Unknown,Closed,105A
J9 226,KWI,2024-08-13T16:30:00.0000000+03:00,2,Airbus A320,Jazeera Airways,Departure,2024-08-13T13:30:00.0000000+00:00,Unknown,Closed,107A
XY 277,SSH,2024-08-13T16:35:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T13:35:00.0000000+00:00,Unknown,Closed,103A
SV 313,CAI,2024-08-13T16:40:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-13T13:40:00.0000000+00:00,Unknown,Closed,102A
F3 509,DXB,2024-08-13T16:55:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-13T13:55:00.0000000+00:00,Departed,Closed,106A
SV 1041,JED,2024-08-13T17:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-13T14:00:00.0000000+00:00,Unknown,Closed,103A
SV 1154,DMM,2024-08-13T17:00:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-13T14:00:00.0000000+00:00,Unknown,Closed,102A
F3 511,DXB,2024-08-13T17:30:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-13T14:30:00.0000000+00:00,Unknown,Closed,105A
SV 1079,JED,2024-08-13T17:30:00.0000000+03:00,5,Airbus A330-300,Saudi Arabian,Departure,2024-08-13T14:30:00.0000000+00:00,Unknown,Closed,106A
XY 74,DMM,2024-08-13T17:45:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-13T14:45:00.0000000+00:00,Unknown,Closed,101A
F3 587,TBS,2024-08-13T17:50:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-13T14:50:00.0000000+00:00,Departed,Closed,106A
F3 137,JED,2024-08-13T17:55:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-13T14:55:00.0000000+00:00,Unknown,Closed,108A
SV 552,DXB,2024-08-13T18:00:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-13T15:00:00.0000000+00:00,Unknown,Closed,105A
F3 581,AYT,2024-08-13T18:10:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-13T15:10:00.0000000+00:00,Departed,Closed,104A
XY 269,CAI,2024-08-13T18:15:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T15:15:00.0000000+00:00,Unknown,Closed,102A
SV 1677,AHB,2024-08-13T18:35:00.0000000+03:00,5,Airbus A330,Saudi Arabian,Departure,2024-08-13T15:35:00.0000000+00:00,Unknown,Closed,106A
XY 349,HRG,2024-08-13T18:40:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T15:40:00.0000000+00:00,Unknown,Closed,109A
F3 139,JED,2024-08-13T18:45:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-13T15:45:00.0000000+00:00,Unknown,Closed,105A
F3 513,DXB,2024-08-13T18:50:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-13T15:50:00.0000000+00:00,Unknown,Closed,109A
SV 1529,TUU,2024-08-13T18:50:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-13T15:50:00.0000000+00:00,Unknown,Closed,103A
XY 59,JED,2024-08-13T19:00:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-13T16:00:00.0000000+00:00,Unknown,Closed,101A
XY 253,AMM,2024-08-13T19:00:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T16:00:00.0000000+00:00,Unknown,Closed,103A
SM 462,CAI,2024-08-13T19:10:00.0000000+03:00,2,Airbus A320,Air Cairo,Departure,2024-08-13T16:10:00.0000000+00:00,Unknown,Closed,104A
SV 1785,GIZ,2024-08-13T19:20:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-13T16:20:00.0000000+00:00,Unknown,Closed,106A
XY 259,SAW,2024-08-13T19:25:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-13T16:25:00.0000000+00:00,Unknown,Closed,105A
AI 922,BOM,2024-08-13T19:40:00.0000000+03:00,2,Airbus A320 NEO,Air India,Departure,2024-08-12T16:40:00.0000000+00:00,Unknown,Closed,102A
F3 143,JED,2024-08-13T19:45:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-13T16:45:00.0000000+00:00,Unknown,Closed,108A
F3 14,AHB,2024-08-13T08:00:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-13T03:20:00.0000000+00:00,Unknown,Closed,102A
SV 1133,DMM,2024-08-13T08:15:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-13T04:00:00.0000000+00:00,Unknown,Closed,105A
G9 151,SHJ,2024-08-13T08:20:00.0000000+03:00,1,Airbus A320,Air Arabia,Arrival,2024-08-13T03:35:00.0000000+00:00,Unknown,Closed,106A
SV 1662,AHB,2024-08-13T08:40:00.0000000+03:00,5,Airbus A330,Saudi Arabian,Arrival,2024-08-13T03:50:00.0000000+00:00,Unknown,Closed,109A
SV 1480,AQI,2024-08-13T08:55:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-13T04:45:00.0000000+00:00,Unknown,Closed,106A
EY 357,AUH,2024-08-13T09:00:00.0000000+03:00,3,Airbus A320,Etihad Airways,Arrival,2024-08-13T04:00:00.0000000+00:00,Unknown,Closed,109A
F3 102,JED,2024-08-13T09:10:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-13T04:30:00.0000000+00:00,Unknown,Closed,103A
SV 1902,TIF,2024-08-13T09:10:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-13T04:35:00.0000000+00:00,Unknown,Closed,104A
XY 84,AHB,2024-08-13T09:20:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-13T04:45:00.0000000+00:00,Unknown,Closed,108A
SV 1022,JED,2024-08-13T09:50:00.0000000+03:00,5,Boeing 777,Saudi Arabian,Arrival,2024-08-13T05:00:00.0000000+00:00,Unknown,Closed,102A
QR 1170,DOH,2024-08-13T10:15:00.0000000+03:00,3,Airbus A350-900,Qatar Airways,Arrival,2024-08-13T05:45:00.0000000+00:00,Unknown,Closed,104A
SV 1842,EAM,2024-08-13T10:30:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-13T05:40:00.0000000+00:00,Unknown,Closed,106A
XY 106,GIZ,2024-08-13T10:35:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-13T05:45:00.0000000+00:00,Unknown,Closed,101A
F3 224,MED,2024-08-13T10:40:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-13T06:10:00.0000000+00:00,Expected,Closed,107A
SV 1458,MED,2024-08-13T10:50:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-13T06:15:00.0000000+00:00,Expected,Closed,105A
GF 163,BAH,2024-08-13T10:55:00.0000000+03:00,2,Airbus A320,Gulf Air,Arrival,2024-08-13T06:40:00.0000000+00:00,Unknown,Closed,103A
TK 142,IST,2024-08-13T11:15:00.0000000+03:00,3,Airbus A321,Turkish,Arrival,2024-08-13T04:05:00.0000000+00:00,Expected,Closed,104A
XY 334,LKO,2024-08-13T11:20:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-13T03:20:00.0000000+00:00,Unknown,Closed,108A
XY 328,CCJ,2024-08-13T11:45:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-13T03:40:00.0000000+00:00,Unknown,Closed,109A
MS 651,CAI,2024-08-13T12:00:00.0000000+03:00,2,Airbus A330-300,EgyptAir,Arrival,2024-08-13T06:25:00.0000000+00:00,Expected,Closed,108A
SV 725,ISB,2024-08-13T12:05:00.0000000+03:00,4,Boeing 777,Saudi Arabian,Arrival,2024-08-13T04:50:00.0000000+00:00,Unknown,Closed,102A
FZ 841,DXB,2024-08-13T12:15:00.0000000+03:00,2,Boeing 737,flydubai,Arrival,2024-08-13T07:15:00.0000000+00:00,Unknown,Closed,106A
XY 202,DXB,2024-08-13T12:20:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-13T07:25:00.0000000+00:00,Expected,Closed,101A
SV 1736,BHH,2024-08-13T12:35:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-13T08:05:00.0000000+00:00,Unknown,Closed,104A
F3 206,TUU,2024-08-13T12:45:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-13T07:55:00.0000000+00:00,Unknown,Closed,104A
QR 1164,DOH,2024-08-13T13:10:00.0000000+03:00,3,Boeing 777-300ER,Qatar Airways,Arrival,2024-08-13T08:40:00.0000000+00:00,Unknown,Closed,107A
XY 71,DMM,2024-08-13T13:10:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-13T09:05:00.0000000+00:00,Unknown,Closed,108A
XY 264,CAI,2024-08-13T13:35:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-13T07:50:00.0000000+00:00,Unknown,Closed,102A
SV 807,DAC,2024-08-13T13:45:00.0000000+03:00,4,Boeing 777,Saudi Arabian,Arrival,2024-08-13T04:40:00.0000000+00:00,Unknown,Closed,109A
F3 16,AHB,2024-08-13T13:45:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-13T09:05:00.0000000+00:00,Unknown,Closed,105A
XY 140,ABT,2024-08-13T13:50:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-13T09:20:00.0000000+00:00,Unknown,Closed,106A
SV 1534,TUU,2024-08-13T13:50:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-13T08:45:00.0000000+00:00,Unknown,Closed,106A
SV 793,PEW,2024-08-13T14:00:00.0000000+03:00,4,Airbus A330-300,Saudi Arabian,Arrival,2024-08-13T06:45:00.0000000+00:00,Unknown,Closed,109A
SV 1143,DMM,2024-08-13T14:15:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-13T10:00:00.0000000+00:00,Unknown,Closed,103A
XY 22,JED,2024-08-13T14:20:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-13T09:30:00.0000000+00:00,Unknown,Closed,104A
XY 344,SJJ,2024-08-13T14:25:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-13T06:20:00.0000000+00:00,Unknown,Closed,102A
NE 162,CAI,2024-08-13T14:30:00.0000000+03:00,2,Airbus A320,Nesma,Arrival,2024-08-13T08:50:00.0000000+00:00,Unknown,Closed,103A
SV 1510,TUI,2024-08-13T14:35:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-13T09:40:00.0000000+00:00,Unknown,Closed,102A
SV 709,KHI,2024-08-13T14:45:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Arrival,2024-08-13T08:30:00.0000000+00:00,Unknown,Closed,101A
SV 1032,JED,2024-08-13T14:50:00.0000000+03:00,5,Airbus A330,Saudi Arabian,Arrival,2024-08-13T10:00:00.0000000+00:00,Unknown,Closed,101A
SV 1238,RAE,2024-08-13T15:00:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-13T10:15:00.0000000+00:00,Unknown,Closed,101A
F3 578,TZX,2024-08-13T15:05:00.0000000+03:00,3,Airbus A320,flyadeal,Arrival,2024-08-13T08:30:00.0000000+00:00,Unknown,Closed,103A
WY 683,MCT,2024-08-13T15:15:00.0000000+03:00,2,Boeing 737,Oman Air,Arrival,2024-08-13T09:55:00.0000000+00:00,Unknown,Closed,102A
XY 252,AMM,2024-08-13T15:25:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-13T10:10:00.0000000+00:00,Unknown,Closed,109A
F3 120,JED,2024-08-13T15:35:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-13T10:55:00.0000000+00:00,Unknown,Closed,101A
J9 225,KWI,2024-08-13T15:45:00.0000000+03:00,2,Airbus A320,Jazeera Airways,Arrival,2024-08-13T11:30:00.0000000+00:00,Unknown,Closed,107A
SV 829,KUL,2024-08-13T15:55:00.0000000+03:00,4,Boeing 777-300,Saudi Arabian,Arrival,2024-08-13T05:00:00.0000000+00:00,Expected,Closed,102A
SV 1524,TUU,2024-08-13T16:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-13T10:55:00.0000000+00:00,Unknown,Closed,102A
G9 154,SHJ,2024-08-13T16:00:00.0000000+03:00,1,Airbus A321,Air Arabia,Arrival,2024-08-13T11:15:00.0000000+00:00,Unknown,Closed,104A
F3 606,CAI,2024-08-13T16:00:00.0000000+03:00,3,Airbus A320,flyadeal,Arrival,2024-08-13T10:10:00.0000000+00:00,Unknown,Closed,106A
