flight_number,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status
XY 19,JED,2024-08-14 13:10+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-14 10:10:00+00:00,Unknown,Closed
H9 574,KTM,2024-08-14 13:15+03:00,2.0,Airbus A320,Himalaya,Departure,2024-08-14 10:15:00+00:00,Unknown,Closed
J9 222,KWI,2024-08-14 13:25+03:00,2.0,Airbus A320 NEO,Jazeera Airways,Departure,2024-08-14 10:25:00+00:00,Unknown,Closed
XY 231,KWI,2024-08-14 13:35+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-14 10:35:00+00:00,Unknown,Closed
QR 1173,DOH,2024-08-14 13:40+03:00,3.0,Airbus A330-300,Qatar Airways,Departure,2024-08-14 10:40:00+00:00,Unknown,Closed
SV 1735,BHH,2024-08-14 13:45+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-14 10:45:00+00:00,Unknown,Closed
SV 1035,JED,2024-08-14 14:00+03:00,5.0,Boeing 777,Saudi Arabian,Departure,2024-08-14 11:00:00+00:00,Unknown,Closed
XY 85,AHB,2024-08-14 14:35+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-14 11:35:00+00:00,Unknown,Closed
SM 462,CAI,2024-08-14 14:40+03:00,2.0,Airbus A320,Air Cairo,Departure,2024-08-14 11:40:00+00:00,Unknown,Closed
F3 125,JED,2024-08-14 14:50+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-14 11:50:00+00:00,Unknown,Closed
SV 1037,JED,2024-08-14 15:00+03:00,5.0,Boeing 777-300,Saudi Arabian,Departure,2024-08-14 12:00:00+00:00,Unknown,Closed
XY 21,JED,2024-08-14 15:05+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-14 12:05:00+00:00,Unknown,Closed
XY 211,DXB,2024-08-14 15:10+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-14 12:10:00+00:00,Unknown,Closed
SV 520,BAH,2024-08-14 15:25+03:00,4.0,Airbus A320,Saudi Arabian,Departure,2024-08-14 12:25:00+00:00,Unknown,Closed
XY 223,DOH,2024-08-14 15:40+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-14 12:40:00+00:00,Unknown,Closed
XY 137,EAM,2024-08-14 15:50+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-14 12:50:00+00:00,Unknown,Closed
GF 190,BAH,2024-08-14 16:00+03:00,2.0,Airbus A320,Gulf Air,Departure,2024-08-14 13:00:00+00:00,Unknown,Closed
SV 1039,JED,2024-08-14 16:00+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-14 13:00:00+00:00,Unknown,Closed
XY 355,TIA,2024-08-14 16:00+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-14 13:00:00+00:00,Unknown,Closed
MS 690,CAI,2024-08-14 16:00+03:00,2.0,Boeing 737-800,EgyptAir,Departure,2024-08-14 13:00:00+00:00,Unknown,Closed
SV 560,DXB,2024-08-14 16:00+03:00,4.0,Airbus A330,Saudi Arabian,Departure,2024-08-14 13:00:00+00:00,Departed,Closed
SV 510,KWI,2024-08-14 16:05+03:00,4.0,Airbus A320,Saudi Arabian,Departure,2024-08-14 13:05:00+00:00,Unknown,Closed
SV 1853,EAM,2024-08-14 16:15+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-14 13:15:00+00:00,Unknown,Closed
XY 271,CAI,2024-08-14 16:25+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-14 13:25:00+00:00,Unknown,Closed
F3 131,JED,2024-08-14 16:25+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-14 13:25:00+00:00,Unknown,Closed
SV 1927,WAE,2024-08-14 16:35+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-14 13:35:00+00:00,Unknown,Closed
F3 21,AHB,2024-08-14 16:40+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-14 13:40:00+00:00,Unknown,Closed
SV 804,DAC,2024-08-14 16:50+03:00,4.0,Boeing 777-300,Saudi Arabian,Departure,2024-08-13 13:50:00+00:00,Unknown,Closed
F3 229,MED,2024-08-14 16:55+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-14 13:55:00+00:00,Departed,Closed
SV 1154,DMM,2024-08-14 17:00+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-14 14:00:00+00:00,Unknown,Closed
XY 788,MED,2024-08-14 17:30+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-14 14:30:00+00:00,Departed,Closed
SV 1703,ABT,2024-08-14 17:30+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-14 14:30:00+00:00,Unknown,Closed
XY 37,JED,2024-08-14 17:40+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-14 14:40:00+00:00,Unknown,Closed
F3 23,AHB,2024-08-14 17:50+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-14 14:50:00+00:00,Unknown,Closed
F3 137,JED,2024-08-14 17:55+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-14 14:55:00+00:00,Unknown,Closed
SV 552,DXB,2024-08-14 18:00+03:00,4.0,Airbus A330,Saudi Arabian,Departure,2024-08-14 15:00:00+00:00,Unknown,Closed
SV 1335,HAS,2024-08-14 18:10+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-14 15:10:00+00:00,Unknown,Closed
SV 333,HBE,2024-08-14 18:35+03:00,4.0,Airbus A321,Saudi Arabian,Departure,2024-08-14 15:35:00+00:00,Unknown,Closed
KU 776,KWI,2024-08-14 18:40+03:00,2.0,Airbus A320,Kuwait Airways,Departure,2024-08-14 15:40:00+00:00,Unknown,Closed
F3 513,DXB,2024-08-14 18:50+03:00,3.0,Airbus A320,flyadeal,Departure,2024-08-14 15:50:00+00:00,Unknown,Closed
SV 1529,TUU,2024-08-14 18:50+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-14 15:50:00+00:00,Unknown,Closed
XY 141,ABT,2024-08-14 18:55+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-14 15:55:00+00:00,Unknown,Closed
SV 1045,JED,2024-08-14 19:00+03:00,5.0,Boeing 777-300,Saudi Arabian,Departure,2024-08-14 16:00:00+00:00,Unknown,Closed
SV 1229,RAE,2024-08-14 19:10+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-14 16:10:00+00:00,Unknown,Closed
RJ 731,AMM,2024-08-14 19:15+03:00,2.0,Airbus A320,Royal Jordanian,Departure,2024-08-14 16:15:00+00:00,Unknown,Closed
XY 259,SAW,2024-08-14 19:25+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-14 16:25:00+00:00,Unknown,Closed
SV 1465,MED,2024-08-14 19:35+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-14 16:35:00+00:00,Departed,Closed
AI 922,BOM,2024-08-14 19:40+03:00,2.0,Airbus A320 NEO,Air India,Departure,2024-08-13 16:40:00+00:00,Unknown,Closed
F3 14,AHB,2024-08-14 08:00+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-14 03:20:00+00:00,Unknown,Closed
G9 151,SHJ,2024-08-14 08:20+03:00,1.0,Airbus A320,Air Arabia,Arrival,2024-08-14 03:35:00+00:00,Unknown,Closed
6E 73,BOM,2024-08-14 08:40+03:00,2.0,Airbus A320 NEO,IndiGo,Arrival,2024-08-14 01:25:00+00:00,Unknown,Closed
FZ 847,DXB,2024-08-14 08:50+03:00,2.0,Boeing 737,flydubai,Arrival,2024-08-14 03:50:00+00:00,Unknown,Closed
XY 348,ADD,2024-08-14 08:50+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 02:10:00+00:00,Unknown,Closed
EY 357,AUH,2024-08-14 09:00+03:00,3.0,Airbus A320,Etihad Airways,Arrival,2024-08-14 04:00:00+00:00,Unknown,Closed
XY 18,JED,2024-08-14 09:05+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 04:15:00+00:00,Unknown,Closed
F3 102,JED,2024-08-14 09:10+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-14 04:30:00+00:00,Unknown,Closed
XY 84,AHB,2024-08-14 09:20+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 04:45:00+00:00,Unknown,Closed
NP 151,CAI,2024-08-14 09:30+03:00,2.0,Airbus A320,Nile Air,Arrival,2024-08-14 03:45:00+00:00,Unknown,Closed
SV 1522,TUU,2024-08-14 09:40+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-14 04:35:00+00:00,Unknown,Closed
