flight_number,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status
SV 1023,JED,2024-08-10 08:00+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 05:00:00+00:00,Unknown,Closed
SV 1295,URY,2024-08-10 08:05+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 05:05:00+00:00,Unknown,Closed
F3 205,TUU,2024-08-10 08:05+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 05:05:00+00:00,Unknown,Closed
J9 230,KWI,2024-08-10 08:10+03:00,2.0,Airbus A320,Jazeera Airways,Departure,2024-08-10 05:10:00+00:00,Unknown,Closed
F3 173,DMM,2024-08-10 08:10+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 05:10:00+00:00,Unknown,Closed
XY 93,MED,2024-08-10 08:10+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-10 05:10:00+00:00,Departed,Closed
F3 585,GYD,2024-08-10 08:25+03:00,3.0,Airbus A320,flyadeal,Departure,2024-08-10 05:25:00+00:00,Unknown,Closed
SV 512,KWI,2024-08-10 08:35+03:00,4.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 05:35:00+00:00,Unknown,Closed
XY 257,SAW,2024-08-10 08:35+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-10 05:35:00+00:00,Unknown,Closed
F3 111,JED,2024-08-10 08:35+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 05:35:00+00:00,Unknown,Closed
F3 33,GIZ,2024-08-10 08:40+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 05:40:00+00:00,Unknown,Closed
XY 13,JED,2024-08-10 08:40+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-10 05:40:00+00:00,Unknown,Closed
F3 505,DXB,2024-08-10 08:50+03:00,3.0,Airbus A320,flyadeal,Departure,2024-08-10 05:50:00+00:00,Unknown,Closed
SV 1737,BHH,2024-08-10 08:55+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 05:55:00+00:00,Unknown,Closed
SV 1138,DMM,2024-08-10 09:00+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 06:00:00+00:00,Unknown,Closed
SV 1025,JED,2024-08-10 09:00+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 06:00:00+00:00,Unknown,Closed
SV 1533,TUU,2024-08-10 09:00+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 06:00:00+00:00,Unknown,Closed
SV 596,DXB,2024-08-10 09:00+03:00,4.0,Airbus A330,Saudi Arabian,Departure,2024-08-10 06:00:00+00:00,Unknown,Closed
SV 1805,GIZ,2024-08-10 09:05+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 06:05:00+00:00,Unknown,Closed
NE 163,CAI,2024-08-10 09:10+03:00,2.0,Airbus A320,Nesma,Departure,2024-08-10 06:10:00+00:00,Unknown,Closed
G9 152,SHJ,2024-08-10 09:10+03:00,1.0,Airbus A320,Air Arabia,Departure,2024-08-10 06:10:00+00:00,Unknown,Closed
XY 273,CAI,2024-08-10 09:10+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-10 06:10:00+00:00,Unknown,Closed
SV 121,LHR,2024-08-10 09:15+03:00,4.0,Boeing 777-300,Saudi Arabian,Departure,2024-08-10 06:15:00+00:00,Departed,Closed
SV 1273,ELQ,2024-08-10 09:15+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 06:15:00+00:00,Unknown,Closed
XY 359,TZX,2024-08-10 09:30+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-10 06:30:00+00:00,Unknown,Closed
F3 605,CAI,2024-08-10 09:30+03:00,3.0,Airbus A320,flyadeal,Departure,2024-08-10 06:30:00+00:00,Unknown,Closed
EK 820,DXB,2024-08-10 09:40+03:00,2.0,Boeing 777-300ER,Emirates,Departure,2024-08-10 06:40:00+00:00,Unknown,Closed
6E 74,BOM,2024-08-10 09:40+03:00,2.0,Airbus A320 NEO,IndiGo,Departure,2024-08-10 06:40:00+00:00,Unknown,Closed
F3 15,AHB,2024-08-10 09:45+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 06:45:00+00:00,Unknown,Closed
XY 17,JED,2024-08-10 09:50+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-10 06:50:00+00:00,Unknown,Closed
FZ 848,DXB,2024-08-10 09:50+03:00,2.0,Boeing 737,flydubai,Departure,2024-08-10 06:50:00+00:00,Unknown,Closed
XY 251,AMM,2024-08-10 09:55+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-10 06:55:00+00:00,Unknown,Closed
SV 1027,JED,2024-08-10 10:00+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 07:00:00+00:00,Unknown,Closed
SV 1511,TUI,2024-08-10 10:00+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 07:00:00+00:00,Unknown,Closed
SV 572,AUH,2024-08-10 10:45+03:00,4.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 07:45:00+00:00,Unknown,Closed
AI 1922,BOM,2024-08-10 11:25+03:00,2.0,Airbus A320 NEO,Air India,Departure,2024-08-10 08:25:00+00:00,Unknown,Closed
XY 267,CAI,2024-08-10 12:00+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-10 09:00:00+00:00,Unknown,Closed
KU 774,KWI,2024-08-10 12:25+03:00,2.0,Airbus A320 NEO,Kuwait Airways,Departure,2024-08-10 09:25:00+00:00,Unknown,Closed
MS 652,CAI,2024-08-10 13:00+03:00,2.0,Airbus A330-300,EgyptAir,Departure,2024-08-10 10:00:00+00:00,Unknown,Closed
XY 149,AJF,2024-08-10 13:20+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-10 10:20:00+00:00,Unknown,Closed
SV 1735,BHH,2024-08-10 13:45+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 10:45:00+00:00,Unknown,Closed
SV 1527,TUU,2024-08-10 14:15+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 11:15:00+00:00,Unknown,Closed
SV 1239,RAE,2024-08-10 14:35+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 11:35:00+00:00,Unknown,Closed
QR 1165,DOH,2024-08-10 14:40+03:00,3.0,Airbus A350-900,Qatar Airways,Departure,2024-08-10 11:40:00+00:00,Unknown,Closed
F3 125,JED,2024-08-10 14:50+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 11:50:00+00:00,Unknown,Closed
SV 1150,DMM,2024-08-10 15:00+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 12:00:00+00:00,Unknown,Closed
XY 21,JED,2024-08-10 15:05+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-10 12:05:00+00:00,Unknown,Closed
XY 353,SLL,2024-08-10 15:15+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-10 12:15:00+00:00,Unknown,Closed
F3 573,IST,2024-08-10 15:25+03:00,3.0,Airbus A320,flyadeal,Departure,2024-08-10 12:25:00+00:00,Departed,Closed
SV 1463,MED,2024-08-10 15:35+03:00,5.0,Airbus A330,Saudi Arabian,Departure,2024-08-10 12:35:00+00:00,Departed,Closed
XY 207,DXB,2024-08-10 15:50+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-10 12:50:00+00:00,Unknown,Closed
SV 1787,GIZ,2024-08-10 16:00+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 13:00:00+00:00,Unknown,Closed
SV 1039,JED,2024-08-10 16:00+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 13:00:00+00:00,Unknown,Closed
SV 560,DXB,2024-08-10 16:00+03:00,4.0,Airbus A330,Saudi Arabian,Departure,2024-08-10 13:00:00+00:00,Departed,Closed
GF 190,BAH,2024-08-10 16:00+03:00,2.0,Airbus A320,Gulf Air,Departure,2024-08-10 13:00:00+00:00,Unknown,Closed
SV 510,KWI,2024-08-10 16:05+03:00,4.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 13:05:00+00:00,Unknown,Closed
XY 33,JED,2024-08-10 16:05+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-10 13:05:00+00:00,Unknown,Closed
WY 684,MCT,2024-08-10 16:25+03:00,2.0,Boeing 737,Oman Air,Departure,2024-08-10 13:25:00+00:00,Unknown,Closed
XY 271,CAI,2024-08-10 16:25+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-10 13:25:00+00:00,Unknown,Closed
J9 226,KWI,2024-08-10 16:30+03:00,2.0,Airbus A320,Jazeera Airways,Departure,2024-08-10 13:30:00+00:00,Unknown,Closed
SV 313,CAI,2024-08-10 16:40+03:00,4.0,Airbus A330,Saudi Arabian,Departure,2024-08-10 13:40:00+00:00,Unknown,Closed
SV 804,DAC,2024-08-10 16:50+03:00,4.0,Boeing 777-300,Saudi Arabian,Departure,2024-08-09 13:50:00+00:00,Unknown,Closed
F3 229,MED,2024-08-10 16:55+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 13:55:00+00:00,Departed,Closed
G9 155,SHJ,2024-08-10 17:00+03:00,1.0,Airbus A321,Air Arabia,Departure,2024-08-10 14:00:00+00:00,Unknown,Closed
SV 1041,JED,2024-08-10 17:00+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 14:00:00+00:00,Unknown,Closed
XY 788,MED,2024-08-10 17:30+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-10 14:30:00+00:00,Departed,Closed
SV 1079,JED,2024-08-10 17:30+03:00,5.0,Boeing 777-300,Saudi Arabian,Departure,2024-08-10 14:30:00+00:00,Unknown,Closed
F3 23,AHB,2024-08-10 17:50+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 14:50:00+00:00,Unknown,Closed
F3 137,JED,2024-08-10 17:55+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 14:55:00+00:00,Unknown,Closed
SV 552,DXB,2024-08-10 18:00+03:00,4.0,Airbus A330,Saudi Arabian,Departure,2024-08-10 15:00:00+00:00,Unknown,Closed
XY 233,BAH,2024-08-10 18:00+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-10 15:00:00+00:00,Unknown,Closed
SV 1583,YNB,2024-08-10 18:15+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 15:15:00+00:00,Unknown,Closed
XY 91,AHB,2024-08-10 18:30+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-10 15:30:00+00:00,Unknown,Closed
SV 333,HBE,2024-08-10 18:35+03:00,4.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 15:35:00+00:00,Unknown,Closed
F3 139,JED,2024-08-10 18:45+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 15:45:00+00:00,Unknown,Closed
SV 1529,TUU,2024-08-10 18:50+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 15:50:00+00:00,Unknown,Closed
SV 637,AMM,2024-08-10 18:50+03:00,4.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 15:50:00+00:00,Unknown,Closed
SV 1160,DMM,2024-08-10 19:00+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 16:00:00+00:00,Unknown,Closed
XY 59,JED,2024-08-10 19:00+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-10 16:00:00+00:00,Unknown,Closed
XY 337,GYD,2024-08-10 19:15+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-10 16:15:00+00:00,Unknown,Closed
RJ 731,AMM,2024-08-10 19:15+03:00,2.0,Embraer 195,Royal Jordanian,Departure,2024-08-10 16:15:00+00:00,Unknown,Closed
SV 1673,AHB,2024-08-10 19:25+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 16:25:00+00:00,Unknown,Closed
SV 1465,MED,2024-08-10 19:35+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 16:35:00+00:00,Departed,Closed
F3 143,JED,2024-08-10 19:45+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 16:45:00+00:00,Unknown,Closed
SV 1297,URY,2024-08-10 19:55+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 16:55:00+00:00,Unknown,Closed
EK 819,DXB,2024-08-10 08:05+03:00,2.0,Boeing 777-300ER,Emirates,Arrival,2024-08-10 03:10:00+00:00,Unknown,Closed
SV 1133,DMM,2024-08-10 08:15+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-10 04:00:00+00:00,Unknown,Closed
SV 1662,AHB,2024-08-10 08:40+03:00,5.0,Airbus A330,Saudi Arabian,Arrival,2024-08-10 03:50:00+00:00,Unknown,Closed
XY 216,DXB,2024-08-10 08:45+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 03:50:00+00:00,Unknown,Closed
SV 1480,AQI,2024-08-10 08:55+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 04:45:00+00:00,Unknown,Closed
EY 357,AUH,2024-08-10 09:00+03:00,3.0,Airbus A321,Etihad Airways,Arrival,2024-08-10 04:00:00+00:00,Unknown,Closed
XY 18,JED,2024-08-10 09:05+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 04:15:00+00:00,Unknown,Closed
SV 1902,TIF,2024-08-10 09:10+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-10 04:35:00+00:00,Unknown,Closed
XY 84,AHB,2024-08-10 09:20+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 04:45:00+00:00,Unknown,Closed
AT 254,CMN,2024-08-10 09:25+03:00,1.0,Airbus A340-300,Royal Air Maroc,Arrival,2024-08-09 23:40:00+00:00,Unknown,Closed
F3 32,GIZ,2024-08-10 09:30+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-10 04:40:00+00:00,Unknown,Closed
XY 4,JED,2024-08-10 09:55+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 05:05:00+00:00,Unknown,Closed
F3 104,JED,2024-08-10 10:10+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-10 05:30:00+00:00,Unknown,Closed
AI 921,BOM,2024-08-10 10:25+03:00,2.0,Airbus A320 NEO,Air India,Arrival,2024-08-10 02:55:00+00:00,Unknown,Closed
XY 82,AHB,2024-08-10 10:30+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 05:55:00+00:00,Unknown,Closed
XY 106,GIZ,2024-08-10 10:35+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 05:45:00+00:00,Unknown,Closed
F3 204,TUU,2024-08-10 10:45+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-10 05:45:00+00:00,Unknown,Closed
SV 1024,JED,2024-08-10 10:50+03:00,5.0,Boeing 777-300,Saudi Arabian,Arrival,2024-08-10 06:00:00+00:00,Unknown,Closed
GF 163,BAH,2024-08-10 10:55+03:00,2.0,Airbus A320,Gulf Air,Arrival,2024-08-10 06:40:00+00:00,Unknown,Closed
KU 773,KWI,2024-08-10 11:05+03:00,2.0,Airbus A320 NEO,Kuwait Airways,Arrival,2024-08-10 06:50:00+00:00,Unknown,Closed
SV 1708,ABT,2024-08-10 11:05+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 06:25:00+00:00,Unknown,Closed
XY 256,AMM,2024-08-10 11:15+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 06:00:00+00:00,Unknown,Closed
A3 952,ATH,2024-08-10 11:35+03:00,1.0,Airbus A320 NEO,Aegean,Arrival,2024-08-10 04:50:00+00:00,Expected,Closed
SV 563,DXB,2024-08-10 11:40+03:00,4.0,Airbus A320,Saudi Arabian,Arrival,2024-08-10 06:40:00+00:00,Expected,Closed
SV 1026,JED,2024-08-10 11:50+03:00,5.0,Airbus A330-300,Saudi Arabian,Arrival,2024-08-10 07:00:00+00:00,Unknown,Closed
MS 651,CAI,2024-08-10 12:00+03:00,2.0,Airbus A330-300,EgyptAir,Arrival,2024-08-10 06:25:00+00:00,Unknown,Closed
SV 513,KWI,2024-08-10 12:15+03:00,4.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 07:50:00+00:00,Unknown,Closed
XY 202,DXB,2024-08-10 12:20+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 07:25:00+00:00,Unknown,Closed
SV 1736,BHH,2024-08-10 12:35+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 08:05:00+00:00,Unknown,Closed
F3 206,TUU,2024-08-10 12:45+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-10 07:55:00+00:00,Unknown,Closed
SV 1028,JED,2024-08-10 12:50+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 08:00:00+00:00,Unknown,Closed
F3 34,GIZ,2024-08-10 13:10+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-10 08:20:00+00:00,Unknown,Closed
XY 264,CAI,2024-08-10 13:35+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 07:50:00+00:00,Unknown,Closed
SM 461,CAI,2024-08-10 13:45+03:00,2.0,Airbus A320,Air Cairo,Arrival,2024-08-10 08:00:00+00:00,Unknown,Closed
SV 1030,JED,2024-08-10 13:50+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 09:00:00+00:00,Unknown,Closed
XY 140,ABT,2024-08-10 13:50+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 09:20:00+00:00,Unknown,Closed
F3 506,DXB,2024-08-10 13:50+03:00,3.0,Airbus A320,flyadeal,Arrival,2024-08-10 08:50:00+00:00,Unknown,Closed
SV 38,IAD,2024-08-10 14:06+03:00,4.0,Boeing 777,Saudi Arabian Airlines,Arrival,2024-08-09 23:25:00+00:00,Expected,Closed
E5 410,CAI,2024-08-10 14:20+03:00,2.0,Airbus A320,Air Arabia Egypt,Arrival,2024-08-10 08:40:00+00:00,Unknown,Closed
XY 22,JED,2024-08-10 14:20+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 09:30:00+00:00,Unknown,Closed
SV 1670,AHB,2024-08-10 14:30+03:00,5.0,Airbus A330,Saudi Arabian,Arrival,2024-08-10 09:45:00+00:00,Unknown,Closed
SV 1510,TUI,2024-08-10 14:35+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-10 09:40:00+00:00,Unknown,Closed
SV 709,KHI,2024-08-10 14:45+03:00,4.0,Airbus A330,Saudi Arabian,Arrival,2024-08-10 08:30:00+00:00,Unknown,Closed
SV 1332,HAS,2024-08-10 14:50+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 10:30:00+00:00,Unknown,Closed
XY 332,BUS,2024-08-10 14:55+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 08:35:00+00:00,Expected,Closed
GF 189,BAH,2024-08-10 15:00+03:00,2.0,Airbus A320,Gulf Air,Arrival,2024-08-10 10:45:00+00:00,Unknown,Closed
XY 390,BJV,2024-08-10 15:05+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 08:15:00+00:00,Expected,Closed
EY 317,AUH,2024-08-10 15:15+03:00,3.0,Airbus A320,Etihad Airways,Arrival,2024-08-10 10:15:00+00:00,Unknown,Closed
SV 573,AUH,2024-08-10 15:25+03:00,4.0,Airbus A320,Saudi Arabian,Arrival,2024-08-10 10:30:00+00:00,Unknown,Closed
SV 1864,EAM,2024-08-10 15:25+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 10:35:00+00:00,Unknown,Closed
F3 120,JED,2024-08-10 15:35+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-10 10:55:00+00:00,Unknown,Closed
J9 225,KWI,2024-08-10 15:45+03:00,2.0,Airbus A320,Jazeera Airways,Arrival,2024-08-10 11:30:00+00:00,Unknown,Closed
SV 829,KUL,2024-08-10 15:55+03:00,4.0,Boeing 777-300,Saudi Arabian,Arrival,2024-08-10 05:00:00+00:00,Expected,Closed
F3 606,CAI,2024-08-10 16:00+03:00,3.0,Airbus A320,flyadeal,Arrival,2024-08-10 10:10:00+00:00,Unknown,Closed
G9 154,SHJ,2024-08-10 16:00+03:00,1.0,Airbus A321,Air Arabia,Arrival,2024-08-10 11:15:00+00:00,Unknown,Closed
XY 36,JED,2024-08-10 16:00+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 11:10:00+00:00,Unknown,Closed
F3 76,EAM,2024-08-10 16:15+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-10 11:30:00+00:00,Unknown,Closed
F3 526,DWC,2024-08-10 16:20+03:00,3.0,Airbus A320,flyadeal,Arrival,2024-08-10 11:20:00+00:00,Unknown,Closed
SV 1244,DWD,2024-08-10 16:35+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-10 12:40:00+00:00,Unknown,Closed
F3 26,AHB,2024-08-10 16:40+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-10 12:00:00+00:00,Unknown,Closed
SV 1036,JED,2024-08-10 16:50+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-10 12:00:00+00:00,Unknown,Closed
GF 167,BAH,2024-08-10 17:00+03:00,2.0,Boeing 787-9,Gulf Air,Arrival,2024-08-10 12:45:00+00:00,Unknown,Closed
XY 206,DXB,2024-08-10 17:10+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 12:15:00+00:00,Unknown,Closed
XY 232,KWI,2024-08-10 17:15+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 12:55:00+00:00,Unknown,Closed
KU 775,KWI,2024-08-10 17:25+03:00,2.0,Airbus A320 NEO,Kuwait Airways,Arrival,2024-08-10 13:05:00+00:00,Unknown,Closed
SV 1738,BHH,2024-08-10 17:25+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 12:55:00+00:00,Unknown,Closed
XY 258,SAW,2024-08-10 17:40+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 10:50:00+00:00,Unknown,Closed
MU 269,PVG,2024-08-10 17:50+03:00,3.0,Airbus A330-200,China Eastern,Arrival,2024-08-10 04:20:00+00:00,Unknown,Closed
SV 1808,GIZ,2024-08-10 17:50+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-10 12:55:00+00:00,Unknown,Closed
XY 218,DXB,2024-08-10 17:50+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 12:55:00+00:00,Unknown,Closed
SV 1672,AHB,2024-08-10 18:05+03:00,5.0,Airbus A330-300,Saudi Arabian,Arrival,2024-08-10 13:15:00+00:00,Unknown,Closed
XY 60,JED,2024-08-10 18:15+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 13:25:00+00:00,Unknown,Closed
SV 1914,TIF,2024-08-10 18:25+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-10 13:50:00+00:00,Unknown,Closed
XY 268,CAI,2024-08-10 18:30+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 12:45:00+00:00,Unknown,Closed
XY 142,ABT,2024-08-10 18:35+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 14:05:00+00:00,Unknown,Closed
XY 86,AHB,2024-08-10 18:35+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 14:00:00+00:00,Unknown,Closed
SV 110,LHR,2024-08-10 18:45+03:00,4.0,Boeing 777-300,Saudi Arabian,Arrival,2024-08-10 09:00:00+00:00,Expected,Closed
SV 1040,JED,2024-08-10 18:50+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 14:00:00+00:00,Unknown,Closed
SV 521,BAH,2024-08-10 18:55+03:00,4.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 14:35:00+00:00,Unknown,Closed
SV 1526,TUU,2024-08-10 19:05+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 14:00:00+00:00,Unknown,Closed
SV 144,CDG,2024-08-10 19:20+03:00,4.0,Boeing 777,Saudi Arabian,Arrival,2024-08-10 10:25:00+00:00,Expected,Closed
XY 224,DOH,2024-08-10 19:25+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 15:05:00+00:00,Unknown,Closed
XY 46,JED,2024-08-10 19:35+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-10 14:45:00+00:00,Unknown,Closed
F3 148,JED,2024-08-10 19:45+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-10 15:05:00+00:00,Unknown,Closed
SV 1926,WAE,2024-08-10 19:50+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-10 15:35:00+00:00,Unknown,Closed
LH 636,FRA,2024-08-10 19:55+03:00,2.0,Airbus A330-300,Lufthansa,Arrival,2024-08-10 11:10:00+00:00,Expected,Closed
SV 1023,JED,2024-08-11 08:00+03:00,5.0,Airbus A330-300,Saudi Arabian,Departure,2024-08-11 05:00:00+00:00,Unknown,Closed
J9 230,KWI,2024-08-11 08:10+03:00,2.0,Airbus A320,Jazeera Airways,Departure,2024-08-11 05:10:00+00:00,Unknown,Closed
F3 585,GYD,2024-08-11 08:25+03:00,3.0,Airbus A320,flyadeal,Departure,2024-08-11 05:25:00+00:00,Unknown,Closed
XY 257,SAW,2024-08-11 08:35+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-11 05:35:00+00:00,Unknown,Closed
XY 219,DXB,2024-08-11 08:45+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-11 05:45:00+00:00,Unknown,Closed
SV 1025,JED,2024-08-11 09:00+03:00,5.0,Boeing 787,Saudi Arabian,Departure,2024-08-11 06:00:00+00:00,Unknown,Closed
SV 1138,DMM,2024-08-11 09:00+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-11 06:00:00+00:00,Unknown,Closed
SV 1805,GIZ,2024-08-11 09:05+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-11 06:05:00+00:00,Unknown,Closed
G9 152,SHJ,2024-08-11 09:10+03:00,1.0,Airbus A320,Air Arabia,Departure,2024-08-11 06:10:00+00:00,Unknown,Closed
SV 1273,ELQ,2024-08-11 09:15+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-11 06:15:00+00:00,Unknown,Closed
F3 605,CAI,2024-08-11 09:30+03:00,3.0,Airbus A320,flyadeal,Departure,2024-08-11 06:30:00+00:00,Unknown,Closed
EK 820,DXB,2024-08-11 09:40+03:00,2.0,Boeing 777-300ER,Emirates,Departure,2024-08-11 06:40:00+00:00,Unknown,Closed
FZ 848,DXB,2024-08-11 09:50+03:00,2.0,Boeing 737,flydubai,Departure,2024-08-11 06:50:00+00:00,Unknown,Closed
XY 251,AMM,2024-08-11 09:55+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-11 06:55:00+00:00,Unknown,Closed
SV 1511,TUI,2024-08-11 10:00+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-11 07:00:00+00:00,Unknown,Closed
EY 358,AUH,2024-08-11 10:05+03:00,3.0,Airbus A320,Etihad Airways,Departure,2024-08-11 07:05:00+00:00,Unknown,Closed
XY 139,ABT,2024-08-11 10:05+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-11 07:05:00+00:00,Unknown,Closed
